smiles,H298 (kcal/mol),S298 (cal/mol/K),Sint298 (cal/mol/K),source,level_of_theory,Cp300 (cal/mol/K),Cp400 (cal/mol/K),Cp500 (cal/mol/K),Cp600 (cal/mol/K),Cp800 (cal/mol/K),Cp1000 (cal/mol/K),Cp1500 (cal/mol/K)
O=C(O)OC(=O)O,-223.69593394423887,86.50326973293693,87.88069631626499,dong_pio_liang.py,CBS-QB3,24.694822883420194,28.758100268533173,32.04033874850406,34.6281945405548,38.15600144983452,40.35052409568069,43.22298327565619
O=C(O)OOC(=O)O,-207.5614381317331,89.67763627761097,89.67763627761097,dong_pio_liang.py,CBS-QB3,31.477679261657364,35.532435562923226,38.83908786836162,41.539828221357794,45.44084239985661,47.813837794397706,50.045645817544205
O=C(O)OC(=O)OO,-199.9732445733577,94.2559029530491,94.2559029530491,dong_pio_liang.py,CBS-QB3,31.001149527375908,34.73995910396748,37.82625963699091,40.35546239922147,44.03524882679485,46.31252315499043,48.6160507027605
OC(O)(O)O,-198.15440148762303,73.66710124168345,78.60512389041104,dong_pio_liang.py,CBS-QB3,24.528553456576866,28.376018739191586,30.634630601064295,32.364126436395395,35.043094305150575,36.92729262490631,39.68915817408533
CC(=O)OC(O)=C(O)C=O,-190.86874706652927,99.62750359036008,101.81067307243153,dong_pio_liang.py,CBS-QB3,38.18521789635733,46.70073965183237,54.199504808496656,60.66649499757739,70.57969847407453,76.85868903585087,83.00998988324329
O=C(O)OCO,-186.4755116615943,79.31675391097747,79.31675391097747,dong_pio_liang.py,CBS-QB3,26.220120663017212,31.420234685892932,35.09855416756333,38.047507828322416,42.43983703439935,45.2758571396367,48.43133364847632
CC(=O)OC(OO)C(COO)COO,-185.42466192510258,141.59992938065815,142.40567227940153,dong_pio_liang.py,CBS-QB3,69.68420069927839,81.21899846306617,90.50333573700766,98.24957314430972,110.05297405944701,118.00103742110898,127.81088231307838
C=C(O)C(=O)CC(=O)OC=O,-182.98737665144668,112.62348072330275,112.62348072330275,dong_pio_liang.py,CBS-QB3,41.07774628911855,49.89049965190876,57.55120678126913,63.93735909504208,73.50080468877974,79.70891944810707,86.48687096152723
CC(=O)OC1C=CCC(O)(C=O)C1=O,-180.76972425689394,122.58502086358767,124.76819034565912,dong_pio_liang.py,CBS-QB3,53.72120245759929,65.68362072493865,76.05144563843128,84.95797155336768,98.9164549156431,108.61003008172658,120.97078502737425
O=C(O)C(=O)O,-175.64405470756282,73.45913116126476,74.83655774459284,dong_pio_liang.py,CBS-QB3,21.72882988474895,26.152537359684903,29.30609437608509,31.62890514539854,35.19297248451999,37.656496063225624,40.887248575323504
