smiles,H298 (kcal/mol),S298 (cal/mol/K),Sint298 (cal/mol/K),Cp300 (cal/mol/K),Cp400 (cal/mol/K),Cp500 (cal/mol/K),Cp600 (cal/mol/K),Cp800 (cal/mol/K),Cp1000 (cal/mol/K),Cp1500 (cal/mol/K),comment
O=C(O)OC(=O)O,-224.5697896749522,88.67037456389947,90.04780114722755,26.022944550669216,31.010994263862333,34.69646271510516,37.19407265774379,39.80640535372849,40.771988527724666,41.6085086042065,Thermo group additivity estimation: group(O2s-(Cds-O2d)(Cds-O2d)) + group(O2s-(Cds-O2d)H) + group(O2s-(Cds-O2d)H) + group(Cds-OdOsOs) + group(Cds-OdOsOs)
O=C(O)OOC(=O)O,-253.91992351816444,88.95613766730402,88.95613766730402,28.685239005736136,38.290478011472274,44.61059273422562,48.46497131931166,53.01307839388145,54.36623326959847,54.92550669216061,Thermo group additivity estimation: group(O2s-O2s(Cds-O2d)) + group(O2s-O2s(Cds-O2d)) + group(O2s-(Cds-O2d)H) + group(O2s-(Cds-O2d)H) + group(Cds-OdOsOs) + group(Cds-OdOsOs)
O=C(O)OC(=O)OO,-205.30604206500956,97.03560229445507,97.03560229445507,32.5251051625239,37.60868068833651,40.9831931166348,43.00921606118546,44.614034416826,44.93078393881453,45.80158699808795,Thermo group additivity estimation: group(O2s-(Cds-O2d)(Cds-O2d)) + group(O2s-O2s(Cds-O2d)) + group(O2s-(Cds-O2d)H) + group(O2s-(Os-CdOd)H) + group(Cds-OdOsOs) + group(Cds-OdOsOs)
OC(O)(O)O,-180.93499043977056,79.31077276236228,84.24879541108984,22.56135755258126,25.05925430210325,27.183078393881456,28.79942638623327,31.68948374760994,34.00481835564054,38.50768642447419,Thermo group additivity estimation: group(O2s-CsH) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-CsH) + group(Cs-OsOsOsOs)
CC(=O)OC(O)=C(O)C=O,-192.70055449330783,104.6983792750987,106.88154875717015,43.48346080305928,52.37093690248567,58.16351816443595,62.18541108986616,68.22346080305927,72.04120458891012,76.27158699808795,Thermo group additivity estimation: group(O2s-(Cds-O2d)(Cds-Cd)) + group(O2s-(Cds-Cd)H) + group(O2s-(Cds-Cd)H) + group(Cs-(Cds-O2d)HHH) + group(Cds-Cds(Cds-O2d)O2s) + group(Cds-CdsCsCs) + group(Cds-OdCsOs) + group(Cds-O2d(Cds-Cds)H)
O=C(O)OCO,-186.782982791587,80.52103250478012,80.52103250478012,24.653441682600384,31.673040152963665,36.67782026768643,39.88288718929254,43.4225621414914,45.38718929254301,48.025812619502865,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-CsH) + group(O2s-(Cds-O2d)H) + group(Cs-OsOsHH) + group(Cds-OdOsOs)
CC(=O)OC(OO)C(COO)COO,-187.13479923518165,153.87028004580725,154.67602294455065,62.810726577437855,75.26456978967495,86.02900573613766,94.64302103250479,107.06824091778202,116.7912810707457,128.05770554493304,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-OsCs) + group(O2s-OsCs) + group(O2s-OsH) + group(O2s-OsH) + group(O2s-OsH) + group(Cs-CsCsCsH) + group(Cs-CsOsOsH) + group(Cs-CsOsHH) + group(Cs-CsOsHH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsOs)
C=C(O)C(=O)CC(=O)OC=O,-181.6275908221797,121.95990439770554,121.95990439770554,43.00015296367112,50.9395793499044,57.24240917782026,62.03896749521988,69.05709369024856,73.8598087954111,79.95007648183557,Thermo group additivity estimation: group(O2s-(Cds-O2d)(Cds-O2d)) + group(O2s-(Cds-Cd)H) + group(Cs-(Cds-O2d)(Cds-O2d)HH) + group(Cds-O2d(Cds-Cds)Cs) + group(Cds-Cds(Cds-O2d)O2s) + group(Cds-OdCsOs) + group(Cds-CdsHH) + group(Cds-OdOsH)
CC(=O)OC1C=CCC(O)(C=O)C1=O,-186.6644359464627,127.26952095769911,129.45269043977055,48.10187380497132,62.737514340344156,74.7012810707457,84.63820267686424,99.6851242829828,109.42173996175909,121.75957934990441,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-CsH) + group(Cs-CsCsCsOs) + group(Cs-(Cds-O2d)CsOsH) + group(Cs-(Cds-Cds)CsHH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsCs) + group(Cds-CdsCsH) + group(Cds-CdsCsH) + group(Cds-OdCsOs) + group(Cds-OdCsH) + ring(Cyclohexane)
O=C(O)C(=O)O,-172.75334608030593,77.34628278569679,78.72370936902485,22.108030592734224,25.879541108986615,29.01529636711281,31.64435946462715,35.55449330783939,37.930210325047796,40.14818355640536,Thermo group additivity estimation: group(O2s-(Cds-O2d)H) + group(O2s-(Cds-O2d)H) + group(Cds-O2d(Cds-O2d)O2s) + group(Cds-O2d(Cds-O2d)O2s)
