resonance_radical_smiles,closed_shell_smiles,closed_shell_H298 (kcal/mol),closed_shell_S298 (cal/mol/K),closed_shell_Cp300 (cal/mol/K),closed_shell_Cp400 (cal/mol/K),closed_shell_Cp500 (cal/mol/K),closed_shell_Cp600 (cal/mol/K),closed_shell_Cp800 (cal/mol/K),closed_shell_Cp1000 (cal/mol/K),closed_shell_Cp1500 (cal/mol/K),closed_shell_Sint298 (cal/mol/K),closed_shell_thermo_comment,closed_shell_thermo_source
[O]C(=O)OC(O)(O)O,O=C(O)OC(O)(O)O,-272.61759082217975,98.40644810875072,31.562313575525813,36.82789674952198,41.09560229445507,44.23441682600382,48.82141491395793,51.77250478011472,56.215621414913954,100.58961759082217,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-(Cds-O2d)H) + group(Cs-OsOsOsOs) + group(Cds-OdOsOs),GAV
[O]C(O)(O)OC(=O)O,O=C(O)OC(O)(O)O,-272.61759082217975,98.40644810875072,31.562313575525813,36.82789674952198,41.09560229445507,44.23441682600382,48.82141491395793,51.77250478011472,56.215621414913954,100.58961759082217,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-(Cds-O2d)H) + group(Cs-OsOsOsOs) + group(Cds-OdOsOs),GAV
O=C(O)O[C](O)O,O=C(O)OC(O)O,-231.3638432122371,94.12741873804973,27.2144741873805,31.965583173996176,36.0323326959847,39.30956022944551,44.059043977055445,47.14130019120459,50.45869980879541,94.12741873804973,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-(Cds-O2d)H) + group(Cs-OsOsOsH) + group(Cds-OdOsOs),GAV
CC(=O)OC(OO)C(=O)C(O)O[O],CC(=O)OC(OO)C(=O)C(O)OO,-234.21931166347994,145.59854792932657,52.706615678776295,62.43877629063097,71.44250478011472,78.07036328871894,87.44336520076483,95.10307839388146,102.6799808795411,145.0268642447419,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-OsCs) + group(O2s-CsH) + group(O2s-OsH) + group(O2s-OsH) + group(Cs-CsOsOsH) + group(Cs-CsOsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsCs) + group(Cds-OdCsOs),GAV
O=[C]OC(O)(O)O,O=COC(O)(O)O,-216.49904397705544,92.68465078561498,26.935162523900573,30.962695984703632,34.637667304015295,37.59244741873805,42.37543021032505,45.7495602294455,50.979005736137665,94.86782026768643,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-CsH) + group(Cs-OsOsOsOs) + group(Cds-OdOsH),GAV
CC(=O)OC(=O)[C](O)C=O,CC(=O)OC(=O)C(O)C=O,-202.4378585086042,121.96911369781492,36.41252390057361,43.128585086042065,49.14435946462714,54.18738049713192,61.797323135755256,67.12476099426387,74.78967495219885,122.7748565965583,Thermo group additivity estimation: group(O2s-(Cds-O2d)(Cds-O2d)) + group(O2s-CsH) + group(Cs-CsCsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsOs) + group(Cds-OdCsOs) + group(Cds-OdCsH),GAV
CC(=O)OC([O])=C(O)C=O,CC(=O)OC(O)=C(O)C=O,-190.86874706652927,99.62750359036008,38.18521789635733,46.70073965183237,54.199504808496656,60.66649499757739,70.57969847407453,76.85868903585087,83.00998988324329,101.81067307243153,Thermo library: ../data/dong_pio_liang.py,Thermo library: ../data/dong_pio_liang.py
CC(=O)OC(=O)C(O)=C[O],CC(=O)OC(=O)C(O)=CO,-189.2564435946463,115.10505231525167,42.26627151051625,50.22455066921606,55.63778202676864,59.251720841300184,64.0589101338432,67.42575525812619,72.8306309751434,117.28822179732312,Thermo group additivity estimation: group(O2s-(Cds-O2d)(Cds-O2d)) + group(O2s-(Cds-Cd)H) + group(O2s-(Cds-Cd)H) + group(Cs-(Cds-O2d)HHH) + group(Cds-Cds(Cds-O2d)O2s) + group(Cds-OdCsOs) + group(Cds-O2d(Cds-Cds)O2s) + group(Cds-CdsOsH),GAV
CC(=O)OC(OO)C(=O)[CH]O,CC(=O)OC(OO)C(=O)CO,-201.25162523900573,127.45936226378052,44.740019120458896,53.523403441682596,61.60676864244741,67.8640535372849,76.90045889101339,83.77883365200766,91.9291395793499,128.2651051625239,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-CsH) + group(O2s-OsH) + group(Cs-CsOsOsH) + group(Cs-(Cds-O2d)OsHH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsCs) + group(Cds-OdCsOs),GAV
CC(=O)OC(OO)C([O])=CO,CC(=O)OC(OO)C(O)=CO,-210.2929636711281,119.89576761750901,48.19474187380497,59.4597514340344,67.64240917782026,73.0699808795411,80.47334608030592,86.10577437858508,92.82973231357552,120.7015105162524,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-(Cds-Cd)H) + group(O2s-(Cds-Cd)H) + group(O2s-OsH) + group(Cs-CsOsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cds-CdsCsOs) + group(Cds-OdCsOs) + group(Cds-CdsOsH),GAV
