resonance_radical_smiles,closed_shell_smiles
[O]C(=O)OC(O)(O)O,O=C(O)OC(O)(O)O
[O]C(O)(O)OC(=O)O,O=C(O)OC(O)(O)O
O=C(O)O[C](O)O,O=C(O)OC(O)O
CC(=O)OC(OO)C(=O)C(O)O[O],CC(=O)OC(OO)C(=O)C(O)OO
O=[C]OC(O)(O)O,O=COC(O)(O)O
CC(=O)OC(=O)[C](O)C=O,CC(=O)OC(=O)C(O)C=O
CC(=O)OC([O])=C(O)C=O,CC(=O)OC(O)=C(O)C=O
CC(=O)OC(=O)C(O)=C[O],CC(=O)OC(=O)C(O)=CO
CC(=O)OC(OO)C(=O)[CH]O,CC(=O)OC(OO)C(=O)CO
CC(=O)OC(OO)C([O])=CO,CC(=O)OC(OO)C(O)=CO
CC(=O)OC(OO)[C](O)C=O,CC(=O)OC(OO)C(O)C=O
CC(=O)OC(OO)C(O)=C[O],CC(=O)OC(OO)C(O)=CO
C[C](O)C1OOC(OC(C)=O)O1,CC(=O)OC1OOC(C(C)O)O1
CC(=O)OC1O[CH]C(C)(O)OO1,CC(=O)OC1OCC(C)(O)OO1
[O]C(=O)OC(=O)O,O=C(O)OC(=O)O
CC(=O)COC(O[O])OC(C)=O,CC(=O)COC(OO)OC(C)=O
CC(=O)OC1OOC(O)[C]1O,CC(=O)OC1OOC(O)C1O
CC(=O)C(CC(=O)OC=O)O[O],CC(=O)C(CC(=O)OC=O)OO
[O]OC(=O)OC(=O)O,O=C(O)OC(=O)OO
C[C](O)C(=O)OC(C)=O,CC(=O)OC(=O)C(C)O
CC(=O)OC([O])=C(C)O,CC(=O)OC(O)=C(C)O
O=C[C](O)C(=O)C(O)OO,O=CC(O)C(=O)C(O)OO
[O]C=C(O)C(=O)C(O)OO,O=C(C(O)=CO)C(O)OO
[O]C(=C(O)C=O)C(O)OO,O=CC(O)=C(O)C(O)OO
CC(=O)OC(O[O])C(O)=CO,CC(=O)OC(OO)C(O)=CO
C[C]1OC(=O)C(O)(C=O)O1,CC1OC(=O)C(O)(C=O)O1
[O]C1(O)OC(=O)O1,O=C1OC(O)(O)O1
[O]OCC(=O)CC(=O)OC=O,O=COC(=O)CC(=O)COO
O=C[C](O)C(=O)O,O=CC(O)C(=O)O
[O]C=C(O)C(=O)O,O=C(O)C(O)=CO
[O]C(O)=C(O)C=O,O=CC(O)=C(O)O
[O]OC(O)(O)O,OOC(O)(O)O
O=C(O)O[CH]O,O=C(O)OCO
[O]OC(O)C(O)=C(O)C=O,O=CC(O)=C(O)C(O)OO
CC(=O)OC(=O)C(C)(C)O[O],CC(=O)OC(=O)C(C)(C)OO
CC(=O)OC(OO)C(=O)CO[O],CC(=O)OC(OO)C(=O)COO
CC1(OO)COC(O[O])C(=O)O1,CC1(OO)COC(OO)C(=O)O1
CC(=O)OC([O])C(=O)C=O,CC(=O)OC(O)C(=O)C=O
[O]OC(O)C(=O)C(O)=CO,O=C(C(O)=CO)C(O)OO
O=C1C(O)OOC1(O)[CH]O,O=C1C(O)OOC1(O)CO
O=C1[CH]OCC(COO)(OO)O1,O=C1COCC(COO)(OO)O1
[O]C1=COCC(COO)(OO)O1,OOCC1(OO)COC=C(O)O1
CC(=O)OC(CC(C)O[O])OO,CC(=O)OC(CC(C)OO)OO
[O]CC1(COO)COCC(=O)O1,O=C1COCC(CO)(COO)O1
