smiles,H298 (kcal/mol),S298 (cal/mol/K),Sint298 (cal/mol/K),source,level_of_theory,Cp300 (cal/mol/K),Cp400 (cal/mol/K),Cp500 (cal/mol/K),Cp600 (cal/mol/K),Cp800 (cal/mol/K),Cp1000 (cal/mol/K),Cp1500 (cal/mol/K)
[O]C(=O)OC(O)(O)O,-223.5141258678663,93.81680413304636,95.99997361511781,dong_pio_liang.py,CBS-QB3,33.92687848517839,38.387673195041685,41.50849615107553,44.06239022036615,47.779730240488504,50.08932834244743,52.51016814199332
[O]C(O)(O)OC(=O)O,-223.4233903965532,92.78143618944574,92.78143618944574,dong_pio_liang.py,CBS-QB3,32.53117910200134,37.56965922483041,41.49844337018882,44.710459721404334,49.35598892328884,52.184758109445504,54.82137127487333
O=C(O)O[C](O)O,-187.3228692048385,88.13964184202335,89.51706842535143,dong_pio_liang.py,CBS-QB3,28.973241937238168,34.55307336552306,38.74672126819312,41.655670532510456,45.23751466744074,47.423506719066935,49.46106903275718
CC(=O)OC(OO)C(=O)C(O)O[O],-185.66057679894064,133.20506375283605,132.63338006825137,dong_pio_liang.py,CBS-QB3,56.56970333309446,66.02822601334684,73.60374414760994,79.7728444155547,88.70551092175891,94.17490840420652,99.50377651708895
O=[C]OC(O)(O)O,-180.4975626123791,87.84880548345505,90.0319749655265,dong_pio_liang.py,CBS-QB3,32.37819122743613,36.844343446026,39.33417925400574,41.30113044525525,44.14372585115827,45.893560408393874,47.744588615855655
CC(=O)OC(=O)[C](O)C=O,-175.93390875225154,107.92518267782975,110.1083521599012,dong_pio_liang.py,CBS-QB3,36.39288808465297,43.33574889533734,49.457992837093684,54.65949825426842,62.71955694965961,68.28746995592735,75.40032786496175
CC(=O)OC(OO)C(=O)[CH]O,-169.4356351984317,114.08795335648254,114.89369625522592,dong_pio_liang.py,CBS-QB3,46.30162159448864,55.70343655514714,63.451970569053536,69.7363391316299,78.69751171764902,84.21375760925432,91.36048894350238
CC(=O)OC(OO)[C](O)C=O,-168.60599381515956,111.93384753509962,112.739590433843,dong_pio_liang.py,CBS-QB3,43.29540793566656,53.289900280012425,61.93008128777829,69.10013904809655,79.74511939533176,86.53657884558184,93.5501633698529
C[C](O)C1OOC(OC(C)=O)O1,-168.1848354910584,117.26129410776257,121.62763307190545,dong_pio_liang.py,CBS-QB3,46.04064349756216,57.4855407228457,67.17689277558031,75.28612768587561,87.52746916969357,95.61910874156982,105.08235997969125
CC(=O)OC1O[CH]C(C)(O)OO1,-165.78484626118356,115.47405963495484,119.84039859909772,dong_pio_liang.py,CBS-QB3,47.61971969340691,58.47133325022287,67.75188054379781,75.48315153187947,86.76713800156205,94.01783960237094,104.2421698162894
[O]C(=O)OC(=O)O,-164.83845295722568,87.67029317640959,87.67029317640959,dong_pio_liang.py,CBS-QB3,23.387634474665525,26.613080834805473,29.284902309157268,31.473871494202857,34.65721987583865,36.625849296363285,38.616923397971796
CC(=O)COC(O[O])OC(C)=O,-164.22293085776977,131.53204930462317,134.52096168543798,dong_pio_liang.py,CBS-QB3,51.800544450607255,60.93645296272866,68.7954533437464,75.44862475688683,85.70647581590555,92.75401601189292,101.82222922768523
CC(=O)OC1OOC(O)[C]1O,-161.944097342744,108.21568528433842,110.39885476640987,dong_pio_liang.py,CBS-QB3,43.79501583431001,53.82202533543266,62.20878660209609,68.91801041970419,78.01029332647815,83.76059503877627,91.30907345290154
CC(=O)C(CC(=O)OC=O)O[O],-155.52928394784806,120.05834756273778,120.86409046148115,dong_pio_liang.py,CBS-QB3,48.94041357684265,57.8377904830691,65.37524987887787,71.66554228614874,81.11832988843935,87.31964213785851,94.47028802051267
[O]OC(=O)OC(=O)O,-155.1058833500647,93.56265073242186,93.56265073242186,dong_pio_liang.py,CBS-QB3,29.543448705207076,33.2179793292826,35.694865530938934,37.69807541183344,40.57978786487215,42.323351170395796,43.97862028645041
C[C](O)C(=O)OC(C)=O,-154.83556937605843,108.46097078620824,112.82730975035112,dong_pio_liang.py,CBS-QB3,35.28617204653727,41.87476574060026,48.11338806034775,53.507350677281416,62.11334030679345,68.34472137521989,77.06072707879902
