smiles,H298 (kcal/mol),S298 (cal/mol/K),Sint298 (cal/mol/K),Cp300 (cal/mol/K),Cp400 (cal/mol/K),Cp500 (cal/mol/K),Cp600 (cal/mol/K),Cp800 (cal/mol/K),Cp1000 (cal/mol/K),Cp1500 (cal/mol/K),comment
[O]C(=O)OC(O)(O)O,-214.5628470363289,98.46305594224867,102.02365200764818,29.530764818355642,33.69692160611854,37.19980879541109,39.86061185468451,43.94569789674952,46.70558317399618,51.10089866156787,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-(Cds-O2d)H) + group(Cs-OsOsOsOs) + group(Cds-OdOsOs) + radical(OC=OOJ)
[O]C(O)(O)OC(=O)O,-218.50644168260038,100.78082217973231,100.78082217973231,28.95715105162524,32.645296367112806,36.363288718929255,39.621606118546836,44.94952198852773,48.354722753346074,52.797839388145306,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-(Cds-O2d)H) + group(Cs-OsOsOsOs) + group(Cds-OdOsOs) + radical(OCOJ)
O=C(O)O[C](O)O,-182.36684321223714,95.35999215472165,96.73741873804971,26.444474187380496,30.605583173996177,34.122332695984696,36.90956022944551,40.89904397705545,43.40130019120459,45.798699808795405,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-(Cds-O2d)H) + group(Cs-OsOsOsH) + group(Cds-OdOsOs) + radical(Cs_P)
CC(=O)OC(OO)C(=O)C(O)O[O],-198.12231166347993,145.81854792932657,145.2468642447419,50.6566156787763,59.598776290630965,67.89250478011472,73.98036328871893,82.72336520076483,90.13307839388145,97.5999808795411,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-OsCs) + group(O2s-CsH) + group(O2s-OsH) + group(O2s-OsH) + group(Cs-CsOsOsH) + group(Cs-CsOsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsCs) + group(Cds-OdCsOs) + radical(ROOJ)
O=[C]OC(O)(O)O,-169.366862332696,91.656926120223,93.84009560229445,27.46097514340344,30.9148948374761,33.80114722753346,36.03891013384321,39.77026768642447,42.49908221797323,46.91590822179732,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-CsH) + group(Cs-OsOsOsOs) + group(Cds-OdOsH) + radical((O)CJOC)
CC(=O)OC(=O)[C](O)C=O,-160.04085850860423,122.76168711448686,124.94485659655831,36.72252390057361,42.46858508604207,47.60435946462714,51.95738049713192,58.627323135755255,63.32476099426386,70.06967495219885,Thermo group additivity estimation: group(O2s-(Cds-O2d)(Cds-O2d)) + group(O2s-CsH) + group(Cs-CsCsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsOs) + group(Cds-OdCsOs) + group(Cds-OdCsH) + radical(C2CsJOH)
CC(=O)OC([O])=C(O)C=O,-160.04085850860423,122.76168711448686,124.94485659655831,36.72252390057361,42.46858508604207,47.60435946462714,51.95738049713192,58.627323135755255,63.32476099426386,70.06967495219885,Thermo group additivity estimation: group(O2s-(Cds-O2d)(Cds-O2d)) + group(O2s-CsH) + group(Cs-CsCsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsOs) + group(Cds-OdCsOs) + group(Cds-OdCsH) + radical(C2CsJOH)
CC(=O)OC(=O)C(O)=C[O],-160.04085850860423,122.76168711448686,124.94485659655831,36.72252390057361,42.46858508604207,47.60435946462714,51.95738049713192,58.627323135755255,63.32476099426386,70.06967495219885,Thermo group additivity estimation: group(O2s-(Cds-O2d)(Cds-O2d)) + group(O2s-CsH) + group(Cs-CsCsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsOs) + group(Cds-OdCsOs) + group(Cds-OdCsH) + radical(C2CsJOH)
CC(=O)OC(OO)C(=O)[CH]O,-177.59672848948372,121.66441006492774,122.47015296367113,45.995889101338435,56.32877629063096,63.91391969407264,69.00688336520076,76.24294455066921,81.89927342256213,88.62323135755257,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-(Cds-Cd)H) + group(O2s-(Cds-Cd)H) + group(O2s-OsH) + group(Cs-CsOsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cds-CdsCsOs) + group(Cds-OdCsOs) + group(Cds-CdsOsH) + radical(C=C(C)OJ)
CC(=O)OC(OO)C([O])=CO,-177.59672848948372,121.66441006492774,122.47015296367113,45.995889101338435,56.32877629063096,63.91391969407264,69.00688336520076,76.24294455066921,81.89927342256213,88.62323135755257,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-(Cds-Cd)H) + group(O2s-(Cds-Cd)H) + group(O2s-OsH) + group(Cs-CsOsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cds-CdsCsOs) + group(Cds-OdCsOs) + group(Cds-CdsOsH) + radical(C=C(C)OJ)
CC(=O)OC(OO)[C](O)C=O,-176.80800956022944,120.68448654676331,121.4902294455067,45.78078393881454,56.2331739961759,64.1529254302103,69.58049713193117,77.05556405353727,82.6401912045889,89.00564053537283,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-(Cds-Cd)H) + group(O2s-(Cds-Cd)H) + group(O2s-OsH) + group(Cs-CsOsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cds-CdsCsOs) + group(Cds-OdCsOs) + group(Cds-CdsOsH) + radical(C=COJ)
CC(=O)OC(OO)C(O)=C[O],-176.80800956022944,120.68448654676331,121.4902294455067,45.78078393881454,56.2331739961759,64.1529254302103,69.58049713193117,77.05556405353727,82.6401912045889,89.00564053537283,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-(Cds-Cd)H) + group(O2s-(Cds-Cd)H) + group(O2s-OsH) + group(Cs-CsOsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cds-CdsCsOs) + group(Cds-OdCsOs) + group(Cds-CdsOsH) + radical(C=COJ)
C[C](O)C1OOC(OC(C)=O)O1,-163.16757290630977,124.71291380832363,129.07925277246653,45.504619502868074,55.83533078393881,65.65521988527725,73.25353728489483,84.13418164435949,92.18289292543021,105.67089866156786,Thermo group additivity estimation: group(O2s-CsCs) + group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-OsCs) + group(O2s-CsH) + group(Cs-CsCsOsH) + group(Cs-CsOsOsH) + group(Cs-OsOsOsH) + group(Cs-CsHHH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsOs) + ring(124trioxolane) + radical(C2CsJOH)
CC(=O)OC1O[CH]C(C)(O)OO1,-170.84881261950287,112.02935893260661,116.3956978967495,49.11789674952198,61.76177820267686,72.11965583173996,79.75977055449331,89.47977055449333,95.95242829827916,110.1446653919694,Thermo group additivity estimation: group(O2s-CsCs) + group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-OsCs) + group(O2s-CsH) + group(Cs-CsCsOsOs) + group(Cs-CsOsHH) + group(Cs-OsOsOsH) + group(Cs-CsHHH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsOs) + ring(124trioxane) + radical(CCsJOCs)
[O]C(=O)OC(=O)O,-166.51504588910134,90.10440898072548,91.48183556405354,23.991395793499045,27.88001912045889,30.800669216061184,32.82026768642447,34.93068833652008,35.70506692160612,36.49378585086042,Thermo group additivity estimation: group(O2s-(Cds-O2d)(Cds-O2d)) + group(O2s-(Cds-O2d)H) + group(O2s-(Cds-O2d)H) + group(Cds-OdOsOs) + group(Cds-OdOsOs) + radical(OC=OOJ)
CC(=O)COC(O[O])OC(C)=O,-164.720189292543,135.1544145790322,138.14332695984703,46.98479923518165,55.71868068833652,63.8665774378585,71.00493307839389,82.05521988527727,90.22996175908222,100.42370936902485,Thermo group additivity estimation: group(O2s-CsCs) + group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-OsH) + group(Cs-(Cds-O2d)OsHH) + group(Cs-OsOsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsCs) + group(Cds-OdCsOs) + radical(ROOJ)
CC(=O)OC1OOC(O)[C]1O,-167.05471493307837,117.15527067089222,119.33844015296367,41.76707456978967,50.52996749521988,58.99779158699808,64.97425047801147,73.61476673040154,80.25068260038242,91.50207456978968,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-OsCs) + group(O2s-CsH) + group(O2s-CsH) + group(Cs-CsCsOsH) + group(Cs-CsOsOsH) + group(Cs-CsOsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsOs) + ring(12dioxolane) + radical(C2CsJOH)
CC(=O)C(CC(=O)OC=O)O[O],-153.36208221797324,138.82861656588375,139.63435946462712,45.22741873804971,53.46267686424474,60.672390057361376,66.4174760994264,75.24621414913958,81.6467877629063,89.90470363288719,Thermo group additivity estimation: group(O2s-OsCs) + group(O2s-(Cds-O2d)(Cds-O2d)) + group(O2s-OsH) + group(Cs-(Cds-O2d)CsOsH) + group(Cs-(Cds-O2d)CsHH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsCs) + group(Cds-OdCsOs) + group(Cds-OdOsH) + radical(ROOJ)
[O]OC(=O)OC(=O)O,-159.0790420650096,97.25560229445507,97.25560229445507,30.475105162523896,34.76868068833651,37.433193116634804,38.919216061185466,39.894034416826,39.96078393881453,40.72158699808795,Thermo group additivity estimation: group(O2s-(Cds-O2d)(Cds-O2d)) + group(O2s-O2s(Cds-O2d)) + group(O2s-(Cds-O2d)H) + group(O2s-(Os-CdOd)H) + group(Cds-OdOsOs) + group(Cds-OdOsOs) + radical(C(=O)OOJ)
C[C](O)C(=O)OC(C)=O,-140.74850669216065,117.56299181979593,121.92933078393881,35.85527724665393,42.72848948374761,48.685717017208404,53.29644359464626,60.687514340344165,66.03147227533461,73.6123135755258,Thermo group additivity estimation: group(O2s-(Cds-O2d)(Cds-O2d)) + group(O2s-CsH) + group(Cs-(Cds-O2d)CsOsH) + group(Cs-CsHHH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsOs) + group(Cds-OdCsOs) + radical(C2CsJOH)
CC(=O)OC([O])=C(C)O,-140.74850669216065,117.56299181979593,121.92933078393881,35.85527724665393,42.72848948374761,48.685717017208404,53.29644359464626,60.687514340344165,66.03147227533461,73.6123135755258,Thermo group additivity estimation: group(O2s-(Cds-O2d)(Cds-O2d)) + group(O2s-CsH) + group(Cs-(Cds-O2d)CsOsH) + group(Cs-CsHHH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsOs) + group(Cds-OdCsOs) + radical(C2CsJOH)
O=C[C](O)C(=O)C(O)OO,-157.3527514340344,113.4309638682229,112.05353728489483,42.87296367112811,51.26948374760993,57.3587189292543,61.09145315487573,65.74759082217973,69.42290630975143,72.68889101338432,Thermo group additivity estimation: group(O2s-OsCs) + group(O2s-CsH) + group(O2s-(Cds-Cd)H) + group(O2s-(Cds-Cd)H) + group(O2s-OsH) + group(Cs-CsOsOsH) + group(Cds-O2d(Cds-Cds)Cs) + group(Cds-Cds(Cds-O2d)O2s) + group(Cds-CdsOsH) + radical(C=COJ)
