smiles,H298 (kcal/mol),S298 (cal/mol/K),Sint298 (cal/mol/K),Cp300 (cal/mol/K),Cp400 (cal/mol/K),Cp500 (cal/mol/K),Cp600 (cal/mol/K),Cp800 (cal/mol/K),Cp1000 (cal/mol/K),Cp1500 (cal/mol/K),comment
[O]C(=O)OC(O)(O)O,-223.51759082217976,92.43938152542268,95.99997759082218,33.92687357552581,38.38767674952199,41.50849629445507,44.06238982600382,47.77973491395793,50.08932478011472,52.51017141491395,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-(Cds-O2d)H) + group(Cs-OsOsOsOs) + group(Cds-OdOsOs) + (RJ1_N-1R-inRing_N-1R->C_Ext-1HNO-R_2R!H->C_Ext-2C-R_Sp-3R!H=2C_N-3R!H->C_Ext-2C-R_Ext-4R!H-R_Ext-5R!H-R_Ext-5R!H-R)
[O]C(O)(O)OC(=O)O,-223.42659082217978,92.78143759082218,92.78143759082218,32.53117957552581,37.569658749521984,41.49844329445507,44.71045982600382,49.35598891395794,52.18475778011472,54.821371414913955,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-(Cds-O2d)H) + group(Cs-OsOsOsOs) + group(Cds-OdOsOs) + (RJ1_N-1R-inRing_N-1R->C_Ext-1HNO-R_2R!H->C_Ext-2C-R_N-Sp-3R!H=2C_Sp-3R!H-2C_1HNO->O_N-2C-inRing_N-3R!H->C_Ext-2C-R_Ext-2C-R)
O=C(O)O[C](O)O,-187.58944321223711,88.28809215472165,89.66551873804971,29.133464187380497,34.77583317399617,39.0409526959847,42.09151022944551,45.77406397705545,47.65005519120459,49.35710980879541,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-(Cds-O2d)H) + group(Cs-OsOsOsH) + group(Cds-OdOsOs) + (RJ1_N-1R-inRing_1R->C_Ext-1C-R_Sp-2R!H-1C_N-2R!H->C_Ext-1C-R_N-3R!H->C_Ext-3BrClFINOPSSi-R_Ext-4R!H-R_N-5R!H->C_Ext-1C-R)
CC(=O)OC(OO)C(=O)C(O)O[O],-185.66331166347993,133.20504792932655,132.63336424474187,56.5697056787763,66.02822629063097,73.60374478011471,79.77284328871895,88.70551520076482,94.17490839388145,99.50378087954111,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-OsCs) + group(O2s-CsH) + group(O2s-OsH) + group(O2s-OsH) + group(Cs-CsOsOsH) + group(Cs-CsOsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsCs) + group(Cds-OdCsOs) + (RJ1_N-1R-inRing_N-1R->C_Ext-1HNO-R_N-2R!H->C_2BrClFINOPSSi->O_Ext-2O-R_N-3R!H-inRing_3R!H->C_Ext-3C-R_4R!H->O_Sp-4O-3C_Ext-3C-R_Sp-5R!H-3C_Ext-5R!H-R_6R!H->O_N-Sp-6O-5R!H_Ext-5R!H-R_Ext-7R!H-R_Ext-7R!H-R_N-8R!H->C)
O=[C]OC(O)(O)O,-180.50054397705546,87.84880078561497,90.03197026768642,32.37819252390057,36.84434598470363,39.3341773040153,41.30112741873805,44.143730210325046,45.893560229445505,47.744585736137665,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-CsH) + group(Cs-OsOsOsOs) + group(Cds-OdOsH) + (RJ1_N-1R-inRing_1R->C_Ext-1C-R_Sp-2R!H-1C_N-2R!H->C_Ext-1C-R_N-3R!H->C_N-Sp-3BrClFINOPSSi-1C_Ext-2NO-R_Ext-4R!H-R_Ext-4R!H-R_Ext-4R!H-R)
CC(=O)OC(=O)[C](O)C=O,-177.76875449330785,112.99605927509869,115.17922875717014,41.69113080305927,49.00594690248566,53.42200816443595,56.17841108986616,60.36332080305927,63.46998458891013,68.66192699808795,Thermo group additivity estimation: group(O2s-(Cds-O2d)(Cds-Cd)) + group(O2s-(Cds-Cd)H) + group(O2s-(Cds-Cd)H) + group(Cs-(Cds-O2d)HHH) + group(Cds-Cds(Cds-O2d)O2s) + group(Cds-CdsCsCs) + group(Cds-OdCsOs) + group(Cds-O2d(Cds-Cds)H) + (RJ1_N-1R-inRing_N-1R->C_Ext-1HNO-R_2R!H->C_Ext-2C-R_Sp-3R!H=2C_3R!H->C_Ext-2C-R_N-4R!H->C_Ext-3C-R_Sp-5R!H-3C_Ext-5R!H-R_N-6R!H->C_Ext-3C-R_Ext-4BrClFINOPSSi-R)
CC(=O)OC([O])=C(O)C=O,-177.76875449330785,112.99605927509869,115.17922875717014,41.69113080305927,49.00594690248566,53.42200816443595,56.17841108986616,60.36332080305927,63.46998458891013,68.66192699808795,Thermo group additivity estimation: group(O2s-(Cds-O2d)(Cds-Cd)) + group(O2s-(Cds-Cd)H) + group(O2s-(Cds-Cd)H) + group(Cs-(Cds-O2d)HHH) + group(Cds-Cds(Cds-O2d)O2s) + group(Cds-CdsCsCs) + group(Cds-OdCsOs) + group(Cds-O2d(Cds-Cds)H) + (RJ1_N-1R-inRing_N-1R->C_Ext-1HNO-R_2R!H->C_Ext-2C-R_Sp-3R!H=2C_3R!H->C_Ext-2C-R_N-4R!H->C_Ext-3C-R_Sp-5R!H-3C_Ext-5R!H-R_N-6R!H->C_Ext-3C-R_Ext-4BrClFINOPSSi-R)
CC(=O)OC(=O)C(O)=C[O],-177.76875449330785,112.99605927509869,115.17922875717014,41.69113080305927,49.00594690248566,53.42200816443595,56.17841108986616,60.36332080305927,63.46998458891013,68.66192699808795,Thermo group additivity estimation: group(O2s-(Cds-O2d)(Cds-Cd)) + group(O2s-(Cds-Cd)H) + group(O2s-(Cds-Cd)H) + group(Cs-(Cds-O2d)HHH) + group(Cds-Cds(Cds-O2d)O2s) + group(Cds-CdsCsCs) + group(Cds-OdCsOs) + group(Cds-O2d(Cds-Cds)H) + (RJ1_N-1R-inRing_N-1R->C_Ext-1HNO-R_2R!H->C_Ext-2C-R_Sp-3R!H=2C_3R!H->C_Ext-2C-R_N-4R!H->C_Ext-3C-R_Sp-5R!H-3C_Ext-5R!H-R_N-6R!H->C_Ext-3C-R_Ext-4BrClFINOPSSi-R)
CC(=O)OC(OO)C(=O)[CH]O,-169.4386636711281,114.087957617509,114.8937005162524,46.301621873804976,55.70344143403441,63.45196917782027,69.73634087954112,78.69751608030592,84.21375437858508,91.36049231357552,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-(Cds-Cd)H) + group(O2s-(Cds-Cd)H) + group(O2s-OsH) + group(Cs-CsOsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cds-CdsCsOs) + group(Cds-OdCsOs) + group(Cds-CdsOsH) + (RJ1_N-1R-inRing_N-1R->C_Ext-1HNO-R_2R!H->C_Ext-2C-R_Sp-3R!H=2C_3R!H->C_Ext-2C-R_4R!H->C_Ext-3C-R_Ext-4C-R_Ext-6R!H-R_N-2C-inRing_Sp-5R!H-3C_Sp-6R!H-4C_7R!H->C)
CC(=O)OC(OO)C([O])=CO,-169.4386636711281,114.087957617509,114.8937005162524,46.301621873804976,55.70344143403441,63.45196917782027,69.73634087954112,78.69751608030592,84.21375437858508,91.36049231357552,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-(Cds-Cd)H) + group(O2s-(Cds-Cd)H) + group(O2s-OsH) + group(Cs-CsOsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cds-CdsCsOs) + group(Cds-OdCsOs) + group(Cds-CdsOsH) + (RJ1_N-1R-inRing_N-1R->C_Ext-1HNO-R_2R!H->C_Ext-2C-R_Sp-3R!H=2C_3R!H->C_Ext-2C-R_4R!H->C_Ext-3C-R_Ext-4C-R_Ext-6R!H-R_N-2C-inRing_Sp-5R!H-3C_Sp-6R!H-4C_7R!H->C)
