radical_smiles,resonance_radical_smiles,has_H,has_C,has_N,has_O,Mw (g/mol),num_rings,num_heavy_atoms,num_rotatable_bonds,radical_atom_type
[O]C(=O)OC(O)(O)O,[O]C(=O)OC(O)(O)O,True,True,False,True,122.992962816,0,8,4,O
[O]C(O)(O)OC(=O)O,[O]C(O)(O)OC(=O)O,True,True,False,True,122.992962816,0,8,3,O
O=C(O)O[C](O)O,O=C(O)O[C](O)O,True,True,False,True,106.998048196,0,7,3,C
CC(=O)OC(OO)C(=O)C(O)O[O],CC(=O)OC(OO)C(=O)C(O)O[O],True,True,False,True,195.01409218400002,0,13,8,O
O=[C]OC(O)(O)O,O=[C]OC(O)(O)O,True,True,False,True,106.998048196,0,7,5,C
CC(=O)OC(=O)[C](O)C=O,CC(=O)OC(=O)[C](O)C=O,True,True,False,True,145.01369826,0,10,4,C
CC(=O)OC(=O)[C](O)C=O,CC(=O)OC([O])=C(O)C=O,True,True,False,True,145.01369826,0,10,4,O
CC(=O)OC(=O)[C](O)C=O,CC(=O)OC(=O)C(O)=C[O],True,True,False,True,145.01369826,0,10,3,O
CC(=O)OC(OO)C(=O)[CH]O,CC(=O)OC(OO)C(=O)[CH]O,True,True,False,True,163.02426294400001,0,11,7,C
CC(=O)OC(OO)C(=O)[CH]O,CC(=O)OC(OO)C([O])=CO,True,True,False,True,163.02426294400001,0,11,6,O
CC(=O)OC(OO)[C](O)C=O,CC(=O)OC(OO)[C](O)C=O,True,True,False,True,163.02426294400001,0,11,7,C
CC(=O)OC(OO)[C](O)C=O,CC(=O)OC(OO)C(O)=C[O],True,True,False,True,163.02426294400001,0,11,6,O
C[C](O)C1OOC(OC(C)=O)O1,C[C](O)C1OOC(OC(C)=O)O1,True,True,False,True,177.039913008,1,12,5,C
CC(=O)OC1O[CH]C(C)(O)OO1,CC(=O)OC1O[CH]C(C)(O)OO1,True,True,False,True,177.039913008,1,12,4,C
[O]C(=O)OC(=O)O,[O]C(=O)OC(=O)O,True,True,False,True,104.982398132,0,7,0,O
CC(=O)COC(O[O])OC(C)=O,CC(=O)COC(O[O])OC(C)=O,True,True,False,True,177.039913008,0,12,7,O
CC(=O)OC1OOC(O)[C]1O,CC(=O)OC1OOC(O)[C]1O,True,True,False,True,163.02426294400001,1,11,4,C
CC(=O)C(CC(=O)OC=O)O[O],CC(=O)C(CC(=O)OC=O)O[O],True,True,False,True,175.02426294400001,0,12,5,O
[O]OC(=O)OC(=O)O,[O]OC(=O)OC(=O)O,True,True,False,True,120.977312752,0,8,0,O
